date,signal_direction,signal,prediction,target_return,pnl,cumulative_pnl,period,abs_return,hit
2017-04-17 12:00:00,-1,-1.0,-1.0,0.0006189760367848616,-0.0006189760367848616,0.08412247676923529,training,0.0006189760367848616,False
2017-04-18 12:00:00,1,1.0,1.0,0.0035410764872521247,0.0035410764872521247,0.08766355325648742,training,0.0035410764872521247,True
2017-04-19 12:00:00,1,1.0,1.0,0.0030861476060312144,0.0030861476060312144,0.09074970086251863,training,0.0030861476060312144,True
2017-04-20 12:00:00,1,1.0,1.0,-0.0006161971830985916,-0.0006161971830985916,0.09013350367942004,training,0.0006161971830985916,False
2017-04-21 12:00:00,1,1.0,1.0,0.006687785990848293,0.006687785990848293,0.09682128967026833,training,0.006687785990848293,True
2017-04-24 12:00:00,1,1.0,1.0,0.005948735893622605,0.005948735893622605,0.10277002556389093,training,0.005948735893622605,True
2017-04-25 12:00:00,1,1.0,1.0,0.0026942464800973403,0.0026942464800973403,0.10546427204398827,training,0.0026942464800973403,True
2017-04-26 12:00:00,1,1.0,1.0,-0.0028648320166681134,-0.0028648320166681134,0.10259944002732016,training,0.0028648320166681134,False
2017-04-27 12:00:00,1,1.0,1.0,0.00034825004353125546,0.00034825004353125546,0.10294769007085142,training,0.00034825004353125546,True
2017-04-28 12:00:00,1,1.0,1.0,0.0015671251958906496,0.0015671251958906496,0.10451481526674207,training,0.0015671251958906496,True
2017-05-01 12:00:00,-1,-1.0,-1.0,-0.00026062027625749283,0.00026062027625749283,0.10477543554299956,training,0.00026062027625749283,True
2017-05-02 12:00:00,-1,-1.0,-1.0,0.0012169680111265646,-0.0012169680111265646,0.10355846753187299,training,0.0012169680111265646,False
2017-05-03 12:00:00,-1,-1.0,-1.0,-0.0005220569042025581,0.0005220569042025581,0.10408052443607554,training,0.0005220569042025581,True
2017-05-04 12:00:00,-1,-1.0,-1.0,-0.0015653535090007827,0.0015653535090007827,0.10564587794507632,training,0.0015653535090007827,True
2017-05-05 12:00:00,-1,-1.0,-1.0,-0.0017358097552508246,0.0017358097552508246,0.10738168770032715,training,0.0017358097552508246,True
2017-05-08 12:00:00,-1,-1.0,-1.0,-0.0006934812760055479,0.0006934812760055479,0.1080751689763327,training,0.0006934812760055479,True
2017-05-09 12:00:00,-1,-1.0,-1.0,0.000778816199376947,-0.000778816199376947,0.10729635277695575,training,0.000778816199376947,False
2017-05-10 12:00:00,1,1.0,1.0,-0.00233907996188166,-0.00233907996188166,0.10495727281507408,training,0.00233907996188166,False
2017-05-11 12:00:00,-1,-1.0,-1.0,-0.0013040076501782145,0.0013040076501782145,0.1062612804652523,training,0.0013040076501782145,True
2017-05-12 12:00:00,1,1.0,1.0,0.00373328702899809,0.00373328702899809,0.10999456749425038,training,0.00373328702899809,True
2017-05-15 12:00:00,-1,-1.0,-1.0,0.00017295053614666206,-0.00017295053614666206,0.10982161695810372,training,0.00017295053614666206,False
2017-05-16 12:00:00,1,1.0,1.0,-0.008906952611553096,-0.008906952611553096,0.10091466434655062,training,0.008906952611553096,False
2017-05-17 12:00:00,1,1.0,1.0,-0.004797208896641954,-0.004797208896641954,0.09611745544990867,training,0.004797208896641954,False
2017-05-18 12:00:00,1,1.0,1.0,0.00938431854060691,0.00938431854060691,0.10550177399051558,training,0.00938431854060691,True
2017-05-19 12:00:00,1,1.0,1.0,0.002783092711775961,0.002783092711775961,0.10828486670229154,training,0.002783092711775961,True
2017-05-22 12:00:00,-1,-1.0,-1.0,-0.0019956616052060738,0.0019956616052060738,0.11028052830749761,training,0.0019956616052060738,True
2017-05-23 12:00:00,-1,-1.0,-1.0,-0.00017304031839418584,0.00017304031839418584,0.1104535686258918,training,0.00017304031839418584,True
2017-05-24 12:00:00,1,1.0,1.0,0.005969374513366208,0.005969374513366208,0.11642294313925801,training,0.005969374513366208,True
2017-05-25 12:00:00,1,1.0,1.0,0.0010335917312661498,0.0010335917312661498,0.11745653487052415,training,0.0010335917312661498,True
2017-05-26 12:00:00,-1,-1.0,-1.0,-0.0008611039352449841,0.0008611039352449841,0.11831763880576913,training,0.0008611039352449841,True
2017-05-29 12:00:00,-1,-1.0,-1.0,0.0012901006278489722,-0.0012901006278489722,0.11702753817792017,training,0.0012901006278489722,False
2017-05-30 12:00:00,-1,-1.0,-1.0,0.001894428657538965,-0.001894428657538965,0.1151331095203812,training,0.001894428657538965,False
2017-05-31 12:00:00,1,1.0,1.0,0.0054333764553686935,0.0054333764553686935,0.12056648597574988,training,0.0054333764553686935,True
2017-06-01 12:00:00,1,1.0,1.0,0.005667668527264921,0.005667668527264921,0.1262341545030148,training,0.005667668527264921,True
2017-06-02 12:00:00,-1,-1.0,-1.0,-0.0002561694133720434,0.0002561694133720434,0.12649032391638684,training,0.0002561694133720434,True
