date,symbol,signal,raw_score,price,contracts,notional_usd,weight_pct,basket,return_pct,weighted_return_pct
2025-09-15,QPL#C,-1,1.8847198589355685e-05,1414.1,-17,1201984.9999999998,2.4039699999999993,METALS,0.8273813733116342,0.019889999999999686
2025-09-15,QRB#C,1,0.016892503947019577,2.0094,13,1097132.4,2.1942648,Energy,1.3934507813277608,0.030576000000000027
2025-09-15,QSI#C,-1,-0.0011803960660472512,43.07,-5,1076750.0,2.1534999999999997,METALS,0.4527513350359886,0.009750000000000014
2025-09-16,@AD#C,1,0.0015842495486140251,0.66845,18,1203210.0,2.4064200000000002,FX,-0.19447976662427524,-0.004679999999999885
2025-09-16,@BO#C,1,-0.002516001695767045,53.22,11,351252.0,0.702504,AGS,-2.987598647125134,-0.02098799999999995
2025-09-16,@BP#C,-1,-0.0004438647592905909,1.3655,-14,1194812.4999999998,2.389624999999999,FX,-0.08787989747345953,-0.002100000000000157
2025-09-16,@C#C,1,0.0009112667175941169,430.0,16,344000.0,0.688,AGS,-0.872093023255814,-0.006
2025-09-16,@CT#C,1,0.003883989993482828,67.46,10,337299.99999999994,0.6745999999999999,AGS,-0.7411799584939224,-0.004999999999999999
2025-09-16,@ES#C,1,0.0005476116202771664,6666.25,10,3333125.0,6.66625,EQUITY,-0.21376336021001313,-0.01425
2025-09-16,@EU#C,1,0.0009586258674971759,1.1909,8,1190900.0,2.3817999999999997,FX,0.04198505332101309,0.0009999999999998896
2025-09-16,@FV#C,-1,-0.0010768059873953462,109.859375,-36,3954937.5,7.9098749999999995,RATESUS,0.1635613710709714,0.0129375
2025-09-16,@JY#C,-1,-0.0011887281434610486,0.006886,-14,1205049.9999999998,2.4100999999999995,FX,-0.1742666279407473,-0.004199999999999949
2025-09-16,@KW#C,-1,-0.0027078050188720226,522.0,0,0.0,0.0,AGS,1.1015325670498084,0.0
2025-09-16,@NQ#C,1,0.0009380046394653618,24509.25,6,2941110.0,5.88222,EQUITY,-0.4875710191050318,-0.028680000000000004
2025-09-16,@RTY#C,0,-7.824090425856411e-05,2413.2,0,0.0,0.0,EQUITY,0.0,0.0
2025-09-16,@S#C,1,-0.0005051126936450601,1050.25,6,315075.0,0.63015,AGS,-0.7379195429659604,-0.00465
2025-09-16,@SM#C,-1,-0.0014427710557356477,287.8,-12,345360.00000000006,0.6907200000000001,AGS,0.9728978457262026,0.006720000000000028
2025-09-16,@TY#C,-1,-0.0008919612737372518,113.515625,-35,3973046.875,7.946093749999999,RATESUS,0.19270474879559532,0.0153125
2025-09-16,@US#C,1,0.0006216786568984389,117.84375,33,3888843.75,7.7776875,RATESUS,0.026518164942985947,0.0020625
2025-09-16,@W#C,1,0.0008035892387852073,533.5,13,346775.0,0.69355,AGS,-0.7497656982193065,-0.0052
2025-09-16,BD#C,-1,-0.0010667199967429042,128.74,-30,3862200.0000000005,7.724400000000001,RATESEU,-0.04660556159701901,-0.0036000000000001365
2025-09-16,BL#C,-1,-0.0001640217669773847,117.93,-33,3891690.0,7.783379999999999,RATESEU,0.025438819638769726,0.001980000000000075
2025-09-16,QBZ#C,1,0.009268435649573803,68.46,17,1163820.0,2.3276399999999997,Energy,-0.3797838153666242,-0.00883999999999969
2025-09-16,QCL#C,1,0.0023573075886815786,64.18,18,1155240.0000000002,2.3104800000000005,Energy,-0.37394827048926316,-0.00864000000000033
2025-09-16,QGC#C,1,-0.000334029842633754,3723.0,3,1116900.0,2.2338,METALS,-0.06983615363953556,-0.0015599999999999453
2025-09-16,QHG#C,1,0.0015547915827482939,4.7015,10,1175375.0,2.35075,METALS,-1.4888865255769494,-0.03500000000000014
2025-09-16,QNG#C,1,0.007983915507793427,3.111,10,311100.00000000006,0.6222000000000001,Energy,-0.9964641594342698,-0.0062000000000000275
2025-09-16,QPL#C,1,0.0013448919635266066,1399.9,17,1189915.0000000002,2.3798300000000006,METALS,-1.6286877634116852,-0.038760000000000315
2025-09-16,QRB#C,1,0.03165839612483978,2.0408,13,1114276.8,2.2285536,Energy,-0.47530380243042153,-0.010592400000000047
2025-09-16,QSI#C,1,2.490449696779251e-05,42.79,5,1069750.0,2.1395,METALS,-1.1918672587053003,-0.0254999999999999
2025-09-17,@AD#C,-1,-0.0011700242757797241,0.6675,-18,1201500.0,2.403,FX,0.7340823970037477,0.017640000000000055
2025-09-17,@BO#C,-1,-0.001873036497272551,52.06,-11,343596.00000000006,0.6871920000000001,AGS,1.7287744909719662,0.011880000000000076
2025-09-17,@BP#C,-1,-0.0012698235223069787,1.3661,-14,1195337.5000000002,2.3906750000000003,FX,0.7759314837859721,0.018550000000000292
2025-09-17,@C#C,1,0.003316843183711171,427.75,16,342200.0,0.6844,AGS,-0.46756282875511396,-0.0032
2025-09-17,@CT#C,1,0.0034308682661503553,67.35,10,336750.0,0.6735,AGS,-0.7126948775055528,-0.004799999999999898
2025-09-17,@ES#C,1,0.00035508806467987597,6661.25,10,3330625.0,6.661250000000001,EQUITY,0.7168324263464064,0.04775
2025-09-17,@EU#C,-1,-0.0006283457623794675,1.19055,-8,1190550.0,2.3811,FX,0.5081684935533903,0.012099999999999776
2025-09-17,@FV#C,1,0.0005396836204454303,109.7578125,36,3951281.25,7.9025625,RATESUS,-0.16371271976653143,-0.012937500000000001
2025-09-17,@JY#C,-1,-0.0006436436669901013,0.006895,-14,1206625.0,2.41325,FX,1.0587382160986243,0.025550000000000052
2025-09-17,@KW#C,1,0.003149330150336027,517.75,0,0.0,0.0,AGS,-1.2071463061323033,-0.0
2025-09-17,@NQ#C,-1,-0.0005770199932157993,24411.25,-6,2929350.0,5.8587,EQUITY,-1.5423216754570126,-0.09036
2025-09-17,@RTY#C,-1,-0.0021112908143550158,2447.6,-27,3304260.0,6.6085199999999995,EQUITY,-1.5321130903742441,-0.10124999999999999
2025-09-17,@S#C,1,-0.00010504871897865087,1044.0,6,313200.0,0.6264,AGS,-0.16762452107279693,-0.00105
2025-09-17,@SM#C,-1,-0.0076364874839782715,287.5,-12,345000.0,0.69,AGS,0.4173913043478221,0.0028799999999999724
2025-09-17,@TY#C,1,0.0006184768280945718,113.40625,35,3969218.75,7.938437499999999,RATESUS,-0.3031138054560485,-0.024062499999999997
2025-09-17,@US#C,1,0.0006351270712912083,118.0,33,3894000.0,7.788,RATESUS,-0.8739406779661016,-0.0680625
2025-09-17,@W#C,1,0.004406767897307873,529.75,13,344337.5,0.6886749999999999,AGS,-0.8022652194431336,-0.0055249999999999995
2025-09-17,BD#C,1,0.0009104435448534787,128.95,30,3868499.9999999995,7.736999999999999,RATESEU,-0.3567274137262347,-0.027599999999998775
2025-09-17,BL#C,1,0.0003481969761196524,117.98,33,3893340.0,7.78668,RATESEU,-0.14409221902017436,-0.011220000000000112
2025-09-17,QBZ#C,1,0.007413732819259167,68.27,17,1160590.0,2.32118,Energy,-1.2304086714515736,-0.028559999999999638
2025-09-17,QCL#C,1,0.00597007293254137,63.97,18,1151460.0,2.30292,Energy,-1.1411599187118915,-0.02627999999999989
2025-09-17,QGC#C,-1,-0.001127055031247437,3718.6,-3,1115580.0,2.23116,METALS,1.0595385360081775,0.023640000000000053
2025-09-17,QHG#C,1,-0.00018628730322234333,4.6365,10,1159124.9999999998,2.3182499999999995,METALS,-0.7872317480858448,-0.018250000000000093
2025-09-17,QNG#C,-1,-0.0026255627162754536,3.104,-10,310400.0,0.6208,Energy,5.44458762886598,0.033800000000000004
2025-09-17,QPL#C,-1,0.00031314665102399886,1382.2,-18,1243980.0,2.48796,METALS,-1.0779916075821054,-0.026819999999999754
2025-09-17,QRB#C,1,-0.010371657088398933,2.038,13,1112747.9999999998,2.2254959999999993,Energy,-1.526005888125609,-0.03396119999999989
2025-09-17,QSI#C,-1,-0.0019838421139866114,42.35,-5,1058750.0,2.1174999999999997,METALS,0.5312868949232619,0.011250000000000067
